Date,home_team,away_team,home_score,away_score,elo_home,elo_away,elo_diff,home_form_wins,home_form_draws,home_form_losses,home_form_gf,home_form_ga,home_form_gd,away_form_wins,away_form_draws,away_form_losses,away_form_gf,away_form_ga,away_form_gd,outcome
1958-06-17,Wales,Hungary,2,1,1501.2845821671717,1636.9920793449223,-135.7074971777506,0,3,0,2,2,0,2,1,2,12,8,4,1
1958-06-19,Sweden,Soviet Union,2,0,1538.954429347949,1525.4850726417621,13.469356706186772,3,1,1,10,5,5,2,1,1,5,4,1,1
1958-06-19,Brazil,Wales,1,0,1639.0147054042386,1523.234586613634,115.78011879060455,2,2,1,8,5,3,1,3,0,4,3,1,1
1958-06-19,West Germany,Yugoslavia,1,0,1523.6418566901707,1535.3106138060007,-11.668757115829976,1,2,0,7,5,2,1,3,1,8,9,-1,1
1958-06-19,France,Northern Ireland,4,0,1508.080308720945,1510.7769158215451,-2.696607100600204,3,0,2,14,10,4,2,1,1,6,6,0,1
1958-06-24,Brazil,France,5,2,1649.8718123545875,1537.9100432983998,111.96176905618768,3,1,1,8,4,4,4,0,1,18,9,9,1
1958-06-24,Sweden,West Germany,3,1,1562.0244649996184,1540.1790208593538,21.84544414026459,4,1,0,10,2,8,2,2,0,8,5,3,1
1958-06-28,France,West Germany,6,3,1518.6332097160123,1517.6860652093712,0.9471445066410524,3,0,2,17,12,5,2,2,1,9,8,1,1
1958-06-29,Brazil,Sweden,5,2,1669.148645936975,1584.517420649601,84.63122528737404,4,1,0,11,2,9,4,1,0,10,2,8,1
1962-05-30,Uruguay,Colombia,2,1,1634.8031199207098,1500.0,134.80311992070983,3,0,2,16,9,7,0,0,0,0,0,0,1
1962-05-30,Chile,Switzerland,3,1,1499.703584422708,1505.0809329751903,-5.377348552482317,2,0,3,7,9,-2,3,0,2,13,12,1,1
1962-05-30,Argentina,Bulgaria,1,0,1508.8241733265866,1500.0,8.82417332658656,1,0,4,9,17,-8,0,0,0,0,0,0,1
1962-05-30,Brazil,Mexico,2,0,1690.4599465001118,1332.0347575058263,358.42518899428546,4,1,0,13,4,9,0,1,4,3,16,-13,1
1962-05-31,Czechoslovakia,Spain,1,0,1500.323587778804,1513.1526923032334,-12.82910452442934,1,1,3,9,11,-2,2,1,2,7,11,-4,1
1962-05-31,Hungary,England,2,1,1615.04207489846,1491.5336478844642,123.50842701399574,1,1,3,9,8,1,0,3,2,6,9,-3,1
1962-05-31,West Germany,Italy,0,0,1489.762395849051,1589.8904741816593,-100.12807833260831,1,2,2,9,13,-4,2,0,3,10,10,0,0
1962-05-31,Soviet Union,Yugoslavia,2,0,1502.4150369900926,1518.7734496368175,-16.3584126467249,2,1,2,5,6,-1,1,2,2,7,9,-2,1
1962-06-02,Yugoslavia,Uruguay,3,1,1493.644284791761,1644.8890387101087,-151.24475391834767,1,2,2,7,9,-2,3,0,2,16,10,6,1
1962-06-02,England,Argentina,3,1,1480.9933542839353,1524.4178924820108,-43.424538198075425,0,3,2,5,7,-2,2,0,3,8,13,-5,1
1962-06-02,Brazil,Czechoslovakia,0,0,1695.8704704609065,1516.9141215091347,178.95634895177182,5,0,0,15,4,11,2,1,2,10,6,4,0
1962-06-02,Chile,Italy,2,0,1524.0750088440184,1585.4029593746052,-61.327950530586804,2,0,3,9,10,-1,2,1,2,8,7,1,1
1962-06-03,West Germany,Switzerland,2,1,1494.2499106561052,1480.70950855388,13.540402102225244,1,2,2,7,11,-4,2,0,3,12,14,-2,1
1962-06-03,Hungary,Bulgaria,6,1,1625.582368498989,1484.4062808445758,141.1760876544131,2,1,2,9,6,3,0,0,1,0,1,-1,1
1962-06-03,Soviet Union,Colombia,4,4,1527.5442018351491,1489.9140812106011,37.630120624548,3,0,2,5,4,1,0,0,1,1,2,-1,0
1962-06-03,Spain,Mexico,1,0,1496.5621585729027,1326.6242335450315,169.9379250278712,1,1,3,5,12,-7,0,1,4,3,13,-10,1
1962-06-06,West Germany,Chile,2,0,1509.6266676007956,1552.2679361574467,-42.641268556651085,2,1,2,7,10,-3,3,0,2,10,7,3,1
1962-06-06,Hungary,Argentina,0,0,1644.7591855781811,1497.4337543655115,147.32543121266963,3,0,2,14,6,8,2,0,3,7,13,-6,0
1962-06-06,Brazil,Spain,2,1,1688.288196796613,1505.3058667688103,182.98233002780262,4,1,0,13,4,9,1,1,3,5,12,-7,1
1962-06-06,Soviet Union,Uruguay,2,1,1525.818015238569,1611.0549058796305,-85.23689064106156,2,1,2,7,8,-1,2,0,3,10,13,-3,1
1962-06-07,Yugoslavia,Colombia,5,0,1527.4784176222392,1491.6402678071813,35.83814981505793,2,1,2,9,9,0,0,1,1,5,6,-1,1
1962-06-07,Italy,Switzerland,3,0,1557.210032061177,1465.3327516091895,91.87728045198742,1,1,3,6,9,-3,1,0,4,11,15,-4,1
1962-06-07,Mexico,Czechoslovakia,3,1,1317.880525349124,1524.4963951734283,-206.61586982430435,0,1,4,1,11,-10,2,2,1,10,5,5,1
1962-06-07,England,Bulgaria,0,0,1507.9774924004346,1465.2294637653836,42.748028635051014,1,2,2,6,6,0,0,0,2,1,7,-6,0
1962-06-10,Yugoslavia,West Germany,1,0,1555.4714883048614,1536.5575210165907,18.91396728827067,2,1,2,11,7,4,2,1,2,8,10,-2,1
1962-06-10,Czechoslovakia,Hungary,1,0,1487.6981771108938,1638.3539750673374,-150.65579795644362,2,1,2,9,6,3,3,1,1,13,4,9,1
1962-06-10,Brazil,England,3,1,1696.5629480789146,1506.0187471414536,190.54420093746103,4,1,0,14,5,9,1,2,2,6,6,0,1
1962-06-10,Chile,Soviet Union,2,1,1525.3370827416516,1545.6664185053119,-20.32933576366031,3,0,2,10,7,3,3,1,1,9,7,2,1
1962-06-13,Czechoslovakia,Yugoslavia,3,1,1510.231681418998,1570.6013273497615,-60.369645930763454,2,1,2,4,5,-1,3,0,2,9,4,5,1
1962-06-13,Brazil,Chile,4,2,1708.5787202556246,1542.2722162840814,166.30650397154318,4,1,0,12,4,8,4,0,1,12,6,6,1
1962-06-16,Chile,Yugoslavia,1,0,1528.9564570855196,1542.4726076788502,-13.516150593330622,3,0,2,9,8,1,3,0,2,10,6,4,1
1962-06-17,Brazil,Czechoslovakia,3,1,1721.8944794541865,1538.3604010899094,183.5340783642771,4,1,0,11,4,7,3,1,1,6,4,2,1
1966-07-11,England,Uruguay,0,0,1494.0029749647435,1591.2065026128876,-97.20352764814402,1,1,3,5,7,-2,1,0,4,7,13,-6,0
1966-07-12,Soviet Union,North Korea,3,0,1528.731284962882,1500.0,28.731284962882,2,1,2,9,9,0,0,0,0,0,0,0,1
1966-07-12,Brazil,Bulgaria,2,0,1734.2774004841742,1467.1882090243646,267.0891914598096,4,1,0,12,5,7,0,1,2,1,7,-6,1
1966-07-12,West Germany,Switzerland,5,0,1521.4276819716906,1444.569281674603,76.85840029708766,2,1,2,7,8,-1,1,0,4,11,16,-5,1
1966-07-13,Portugal,Hungary,3,1,1500.0,1615.820470759233,-115.8204707592331,0,0,0,0,0,0,2,1,2,9,5,4,1
1966-07-13,Italy,Chile,2,0,1577.9735019957634,1545.578585009111,32.39491698665233,2,1,2,8,7,1,3,0,2,7,7,0,1
1966-07-13,France,Mexico,1,1,1546.5568790763325,1354.6787434116584,191.87813566467412,3,0,2,16,12,4,1,1,3,4,9,-5,0
1966-07-13,Argentina,Spain,2,1,1503.8389648763552,1497.0311154865087,6.807849389846524,2,1,2,6,10,-4,1,0,4,4,12,-8,1
1966-07-15,North Korea,Chile,1,1,1474.3102042767512,1523.8098842524278,-49.4996799756766,0,0,1,0,3,-3,2,0,3,5,9,-4,0
1966-07-15,Hungary,Brazil,3,1,1584.1036318523538,1742.7686292927856,-158.66499744043176,2,1,2,9,6,3,5,0,0,14,5,9,1
1966-07-15,Uruguay,France,2,1,1586.8433646339265,1538.5213695062364,48.321995127690116,1,1,3,5,9,-4,3,1,1,15,10,5,1
1966-07-15,Spain,Switzerland,2,1,1481.3445884189462,1420.160803947785,61.18378447116106,1,0,4,4,8,-4,0,0,5,7,20,-13,1
